ref;day;month;year;lat;long
146744;19;6;2017;48.450113;7.671975
147173;19;6;2017;45.99032725;4.41907917
147255;19;6;2017;48.406043;-4.222482
148433;19;6;2017;48.5887;6.328472
151478;19;6;2017;48.769927;2.156429
158622;19;6;2017;49.480261;1.956941
144985;20;6;2017;42.874825;0.85920876
145076;20;6;2017;48.288967;-4.4643188
145090;20;6;2017;47.180683;4.1515884
145368;20;6;2017;48.6453;2.1003165
145457;20;6;2017;48.109268;7.194085
145535;20;6;2017;44.049747;1.7315269
145589;20;6;2017;42.815266;0.32107314
145855;20;6;2017;43.207047;-0.12735054
145931;20;6;2017;48.060917;-3.910639
145969;20;6;2017;48.70461;1.3375248
146081;20;6;2017;46.521098;5.611548
146242;20;6;2017;45.85218;6.2171082
146331;20;6;2017;45.723794;5.991839
146440;20;6;2017;45.769997;-1.1373124
146475;20;6;2017;49.303352;1.85137
146543;20;6;2017;47.710514;-2.2166846
146640;20;6;2017;47.766945;7.312408
146651;20;6;2017;43.952866;4.8045073
147496;20;6;2017;45.840355;4.7822256
147836;20;6;2017;48.258465;-1.1334063
148304;20;6;2017;44.203083;4.033072
151482;20;6;2017;48.769101;2.160948
145120;21;6;2017;48.584866;2.533121
145444;21;6;2017;50.724174;3.138516
145467;21;6;2017;50.39439;3.484864
145711;21;6;2017;48.309435;-1.841191
145793;21;6;2017;42.859447;2.4344375
145809;21;6;2017;48.3423;-4.4178653
146264;21;6;2017;48.67938939;7.06807547
146323;21;6;2017;48.740765;2.018001
146449;21;6;2017;50.505307;1.59684
146490;21;6;2017;47.772194;1.6388693
146812;21;6;2017;47.686092;6.041858
148190;21;6;2017;46.81517697;6.29661655
148255;21;6;2017;45.27325;5.924645
148276;21;6;2017;44.98545;6.115254
148307;21;6;2017;48.45009;-1.9585152
145060;22;6;2017;47.765501;5.440198
145109;22;6;2017;48.962505;1.787232
145499;22;6;2017;48.67716;2.1402771
145505;22;6;2017;48.677155;2.1404893
145701;22;6;2017;49.18838;2.2229853
145706;22;6;2017;48.801742;1.449188
145741;22;6;2017;47.779926;-2.5298722
145815;22;6;2017;45.464054;4.5524683
146127;22;6;2017;48.72626;6.159705
146376;22;6;2017;46.11155048;1.54139386
146699;22;6;2017;47.726776;6.261642
147149;22;6;2017;49.139893;2.32558
148555;22;6;2017;43.534348;1.4573468
169174;22;6;2017;48.1222;5.745959
145381;23;6;2017;46.814583;4.662271
145840;23;6;2017;48.72175;2.126221
146109;23;6;2017;43.089126;0.853398
146130;23;6;2017;48.33516614;4.12883377
146143;23;6;2017;48.07002815;7.09550653
146290;23;6;2017;42.792603;0.588602
146294;23;6;2017;45.734432;-0.33789498
146339;23;6;2017;43.29126;6.239631
146742;23;6;2017;46.63292641;0.49168861
146794;23;6;2017;49.156918;2.49448
145168;24;6;2017;43.71845;7.2576904
145422;24;6;2017;48.398703;2.150079
145453;24;6;2017;48.108755;7.194732
145623;24;6;2017;47.297765;5.00828
145631;24;6;2017;47.391487;-1.694611
145648;24;6;2017;48.371744;2.153289
145891;24;6;2017;47.986076;-3.0303988
146033;24;6;2017;47.814803;-3.20639
146138;24;6;2017;47.14169;4.8319335
146174;24;6;2017;45.732645;4.997892
146276;24;6;2017;48.929417;7.8917265
146562;24;6;2017;47.165937;-1.06305
146580;24;6;2017;46.108251;5.829233
146828;24;6;2017;45.938126;4.7034864
146953;24;6;2017;47.984344;-4.111791
146954;24;6;2017;47.983356;-4.1136184
147126;24;6;2017;49.47096639;3.4156494
147185;24;6;2017;48.588524;1.8118526
147223;24;6;2017;47.8894;1.6799124
148606;24;6;2017;46.25212;5.6221457
145102;25;6;2017;47.32949;6.6756697
145141;25;6;2017;47.741233;7.341802
145307;25;6;2017;44.980804;-1.0922735
145378;25;6;2017;48.977032;1.907616
145420;25;6;2017;48.401646;2.156819
145421;25;6;2017;48.398166;2.148786
145797;25;6;2017;45.29351;2.16723
145808;25;6;2017;48.72986;7.7988043
145970;25;6;2017;48.704636;1.3374865
146003;25;6;2017;45.86596949;2.61378264
146023;25;6;2017;47.905065;-2.170178
146034;25;6;2017;47.966928;7.191926
146061;25;6;2017;48.85438;6.1286073
146084;25;6;2017;46.40155;2.1366992
146282;25;6;2017;48.25185;-1.903199
146329;25;6;2017;49.002571;2.003787
146459;25;6;2017;43.473055;5.789057
146466;25;6;2017;48.546066;2.261093
146467;25;6;2017;48.544895;2.266022
147300;25;6;2017;44.404373;4.553488
147331;25;6;2017;48.802388;2.409899
147384;25;6;2017;50.286344;4.093573
147436;25;6;2017;48.72978;7.7987685
147822;25;6;2017;48.875732;2.0133214
148590;25;6;2017;47.624836;7.321713
148844;25;6;2017;45.663723;2.992049
151184;25;6;2017;50.437309;3.467173
151803;25;6;2017;47.674316;6.542042
671;25;6;2017;42.8080588295071;1.38527177274227
145355;26;6;2017;47.760956;-2.6114342
146245;26;6;2017;45.11914;4.348801
146631;26;6;2017;43.686897;-0.86610276
146692;26;6;2017;45.782376;4.878815
146750;26;6;2017;44.986717;6.12279
146827;26;6;2017;48.735844;-3.129431
146852;26;6;2017;49.64403;-1.522922
147251;26;6;2017;49.477499;1.062487
147784;26;6;2017;44.2566;1.4283973
148268;26;6;2017;45.298101;5.48394
149490;26;6;2017;48.648403;2.088215
145330;27;6;2017;43.50272;-1.4635117
145645;27;6;2017;48.40361;0.2503279
145744;27;6;2017;47.77108;-2.544729
145752;27;6;2017;47.459183;6.814826
145768;27;6;2017;42.81967;-0.54429567
145901;27;6;2017;48.48936135;-1.60723114
146096;27;6;2017;49.02931;2.271267
146427;27;6;2017;47.76434;-3.2886636
146607;27;6;2017;48.894783;8.0421715
146698;27;6;2017;47.717773;7.3290534
147386;27;6;2017;48.66305;2.4891026
147433;27;6;2017;43.61704566;2.31571412
148062;27;6;2017;47.715687;-2.4436433
148102;27;6;2017;43.28787905;0.8882103
148483;27;6;2017;45.660175;-0.814202
146838;28;6;2017;46.101242;3.449452
146840;28;6;2017;46.101303;3.4493032
147459;28;6;2017;50.886692;2.0932834
148389;28;6;2017;48.074707;2.4690847
148469;28;6;2017;49.0866;2.1983225
148662;28;6;2017;48.81148;7.9494486
144993;29;6;2017;49.42306;1.3285468
145458;29;6;2017;48.109175;7.194233
145571;29;6;2017;47.2197;5.949935
145704;29;6;2017;48.12986;-1.6219074
146041;29;6;2017;47.817108;-3.203524
146312;29;6;2017;49.377033;1.2770963
